KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706101,4786,3392,1860,55016,97224,1
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0705941,4786,3392,1860,55016,97224,2
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706269,4786,3392,1860,55016,97224,3
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706414,4786,3392,1860,55016,97224,4
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706061,4786,3392,1860,55016,97224,5
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706125,4786,3392,1860,55016,97224,6
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0705896,4786,3392,1860,55016,97224,7
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706228,4786,3392,1860,55016,97224,8
ANDERSEN WINDOWS INC._55016_97224,TPOD-B0706391,4786,3392,1860,55016,97224,9
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0706100,2658,1572,864,55016,80223,1
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0705986,2658,1572,864,55016,80223,2
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0706498,2658,1572,864,55016,80223,3
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0706151,2658,1572,864,55016,80223,4
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0706273,2658,1572,864,55016,80223,5
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0706416,2658,1572,864,55016,80223,6
ANDERSEN WINDOWS INC._55016_80223,TPOD-B0706337,2658,1572,864,55016,80223,7
ANDERSEN WINDOWS INC._55016_95742,TPOD-B0706055,4576,3517,1911,55016,95742,1
ANDERSEN WINDOWS INC._55016_95742,TPOD-B0706099,4576,3517,1911,55016,95742,2
ANDERSEN WINDOWS INC._55016_95742,TPOD-B0705944,4576,3517,1911,55016,95742,3
ANDERSEN WINDOWS INC._55016_95742,TPOD-B0706232,4576,3517,1911,55016,95742,4
ANDERSEN WINDOWS INC._55016_95742,TPOD-B0706272,4576,3517,1911,55016,95742,5
ANDERSEN WINDOWS INC._55016_95742,TPOD-B0706395,4576,3517,1911,55016,95742,6
ANDERSEN WINDOWS INC._55016_84123,TPOD-B0705988,3181,2303,1250,55016,84123,1
ANDERSEN WINDOWS INC._55016_84123,TPOD-B0706152,3181,2303,1250,55016,84123,2
ANDERSEN WINDOWS INC._55016_84123,TPOD-B0706393,3181,2303,1250,55016,84123,3
ANDERSEN WINDOWS INC._55016_84123,TPOD-B0706231,3181,2303,1250,55016,84123,4
ANDERSEN WINDOWS INC._55016_84123,TPOD-B0706338,3181,2303,1250,55016,84123,5
ANDERSEN WINDOWS INC._55016_27529,TPOD-B0706350,3095,2319,1227,55016,27529,1
ANDERSEN WINDOWS INC._55016_27529,TPOD-B0706011,3095,2319,1227,55016,27529,2
ANDERSEN WINDOWS INC._55016_27529,TPOD-B0706371,3095,2319,1227,55016,27529,3
ANDERSEN WINDOWS INC._55016_27529,TPOD-B0706159,3095,2319,1227,55016,27529,4
ANDERSEN WINDOWS INC._55016_27529,TPOD-B0706533,3095,2319,1227,55016,27529,5
ANDERSEN WINDOWS INC._55016_94533,TPOD-B0706057,4679,3561,1961,55016,94533,1
ANDERSEN WINDOWS INC._55016_94533,TPOD-B0706227,4679,3561,1961,55016,94533,2
ANDERSEN WINDOWS INC._55016_94533,TPOD-B0706390,4679,3561,1961,55016,94533,3
ANDERSEN WINDOWS INC._55016_94533,TPOD-B0706417,4679,3561,1961,55016,94533,4
ANDERSEN WINDOWS INC._55016_83705,TPOD-B0706014,4029,2685,1465,55016,83705,1
ANDERSEN WINDOWS INC._55016_83705,TPOD-B0706162,4029,2685,1465,55016,83705,2
ANDERSEN WINDOWS INC._55016_83705,TPOD-B0705850,4029,2685,1465,55016,83705,3
ANDERSEN WINDOWS INC._55016_83705,TPOD-B0706368,4029,2685,1465,55016,83705,4
ANDERSEN WINDOWS INC._55016_89118,TPOD-B0706012,4658,2948,1613,55016,89118,1
ANDERSEN WINDOWS INC._55016_89118,TPOD-B0706163,4658,2948,1613,55016,89118,2
ANDERSEN WINDOWS INC._55016_89118,TPOD-B0706370,4658,2948,1613,55016,89118,3
ANDERSEN WINDOWS INC._55016_89118,TPOD-B0706530,4658,2948,1613,55016,89118,4
ANDERSEN WINDOWS INC._55016_99207,TPOD-B0706056,3870,2570,1407,55016,99207,1
ANDERSEN WINDOWS INC._55016_99207,TPOD-B0705895,3870,2570,1407,55016,99207,2
ANDERSEN WINDOWS INC._55016_99207,TPOD-B0706233,3870,2570,1407,55016,99207,3
ANDERSEN WINDOWS INC._55016_99207,TPOD-B0706389,3870,2570,1407,55016,99207,4
ANDERSEN WINDOWS INC._55016_94544,TPOD-B0705987,4832,3648,2003,55016,94544,1
ANDERSEN WINDOWS INC._55016_94544,TPOD-B0706150,4832,3648,2003,55016,94544,2
ANDERSEN WINDOWS INC._55016_94544,TPOD-B0706336,4832,3648,2003,55016,94544,3
ANDERSEN WINDOWS INC._55016_94544,TPOD-B0706496,4832,3648,2003,55016,94544,4
ANDERSEN WINDOWS INC._55016_89502,TPOD-B0706102,4409,3207,1765,55016,89502,1
ANDERSEN WINDOWS INC._55016_89502,TPOD-B0706271,4409,3207,1765,55016,89502,2
ANDERSEN WINDOWS INC._55016_89502,TPOD-B0706415,4409,3207,1765,55016,89502,3
ANDERSEN WINDOWS INC._55016_28208,TPOD-B0706058,2920,2202,1156,55016,28208,1
ANDERSEN WINDOWS INC._55016_28208,TPOD-B0706392,2920,2202,1156,55016,28208,2
ANDERSEN WINDOWS INC._55016_28208,TPOD-B0706230,2920,2202,1156,55016,28208,3
ANDERSEN WINDOWS INC._55016_46563,TPOD-B0706372,1383,965,497,55016,46563,1
ANDERSEN WINDOWS INC._55016_46563,TPOD-B0706161,1383,965,497,55016,46563,2
ANDERSEN WINDOWS INC._55016_46563,TPOD-B0706531,1383,965,497,55016,46563,3
ANDERSEN WINDOWS INC._55016_93706,TPOD-B0706062,5477,3660,1999,55016,93706,1
ANDERSEN WINDOWS INC._55016_93706,TPOD-B0706229,5477,3660,1999,55016,93706,2
ANDERSEN WINDOWS INC._55016_93706,TPOD-B0706394,5477,3660,1999,55016,93706,3
ANDERSEN WINDOWS INC._55016_80011,TPOD-B0706495,2754,1586,863,55016,80011,1
ANDERSEN WINDOWS INC._55016_80011,TPOD-B0706149,2754,1586,863,55016,80011,2
ANDERSEN WINDOWS INC._55016_97504,TPOD-B0705942,5067,3738,2030,55016,97504,1
ANDERSEN WINDOWS INC._55016_97504,TPOD-B0706270,5067,3738,2030,55016,97504,2
ANDERSEN WINDOWS INC._55016_99336,TPOD-B0705893,4316,2829,1543,55016,99336,1
ANDERSEN WINDOWS INC._55016_99336,TPOD-B0706226,4316,2829,1543,55016,99336,2
ANDERSEN WINDOWS INC._55016_81303,TPOD-B0706013,3821,2302,1236,55016,81303,1
ANDERSEN WINDOWS INC._55016_81303,TPOD-B0706369,3821,2302,1236,55016,81303,2
ANDERSEN WINDOWS INC._55016_83401,TPOD-B0706164,3070,2249,1211,55016,83401,1
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705907,4446,3209,1763,97741,54751,1
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706076,4446,3209,1763,97741,54751,2
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705912,4446,3209,1763,97741,54751,3
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705911,4446,3209,1763,97741,54751,4
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706244,4446,3209,1763,97741,54751,5
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705910,4446,3209,1763,97741,54751,6
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705913,4446,3209,1763,97741,54751,7
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705908,4446,3209,1763,97741,54751,8
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705909,4446,3209,1763,97741,54751,9
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705906,4446,3209,1763,97741,54751,10
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706246,4446,3209,1763,97741,54751,11
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706448,4446,3209,1763,97741,54751,12
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706586,4446,3209,1763,97741,54751,13
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0705730,4446,3209,1763,97741,54751,14
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706247,4446,3209,1763,97741,54751,15
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706446,4446,3209,1763,97741,54751,16
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706453,4446,3209,1763,97741,54751,17
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706452,4446,3209,1763,97741,54751,18
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706455,4446,3209,1763,97741,54751,19
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706454,4446,3209,1763,97741,54751,20
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706248,4446,3209,1763,97741,54751,21
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706255,4446,3209,1763,97741,54751,22
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706250,4446,3209,1763,97741,54751,23
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706245,4446,3209,1763,97741,54751,24
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706447,4446,3209,1763,97741,54751,25
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706249,4446,3209,1763,97741,54751,26
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706451,4446,3209,1763,97741,54751,27
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706450,4446,3209,1763,97741,54751,28
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706449,4446,3209,1763,97741,54751,29
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706456,4446,3209,1763,97741,54751,30
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706258,4446,3209,1763,97741,54751,31
ANDERSEN WINDOWS INC._97741_54751,TPOD-B0706602,4446,3209,1763,97741,54751,32
ANDERSEN WINDOWS INC._97741_52001,TPOD-B0705914,4958,3494,1920,97741,52001,1
ANDERSEN WINDOWS INC._97741_52001,TPOD-B0706366,4958,3494,1920,97741,52001,2
ANDERSEN WINDOWS INC._97741_52001,TPOD-B0706252,4958,3494,1920,97741,52001,3
ANDERSEN WINDOWS INC._97741_54023,TPOD-B0706077,4354,3292,1812,97741,54023,1
ANDERSEN WINDOWS INC._97741_54023,TPOD-B0706187,4354,3292,1812,97741,54023,2
ANDERSEN WINDOWS INC._97741_54023,TPOD-B0706387,4354,3292,1812,97741,54023,3
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706165,4706,3566,1957,54751,95828,1
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706051,4706,3566,1957,54751,95828,2
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706139,4706,3566,1957,54751,95828,3
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706186,4706,3566,1957,54751,95828,4
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0705994,4706,3566,1957,54751,95828,5
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0705977,4706,3566,1957,54751,95828,6
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706388,4706,3566,1957,54751,95828,7
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706471,4706,3566,1957,54751,95828,8
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706380,4706,3566,1957,54751,95828,9
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706277,4706,3566,1957,54751,95828,10
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706339,4706,3566,1957,54751,95828,11
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706379,4706,3566,1957,54751,95828,12
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706606,4706,3566,1957,54751,95828,13
ANDERSEN WINDOWS INC._54751_95828,TPOD-B0706504,4706,3566,1957,54751,95828,14
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706042,2794,1700,926,54751,80011,1
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706168,2794,1700,926,54751,80011,2
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706142,2794,1700,926,54751,80011,3
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0705968,2794,1700,926,54751,80011,4
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706382,2794,1700,926,54751,80011,5
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706507,2794,1700,926,54751,80011,6
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706485,2794,1700,926,54751,80011,7
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706469,2794,1700,926,54751,80011,8
ANDERSEN WINDOWS INC._54751_80011,TPOD-B0706293,2794,1700,926,54751,80011,9
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706106,4586,3268,1800,54751,97218,1
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706201,4586,3268,1800,54751,97218,2
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706202,4586,3268,1800,54751,97218,3
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706540,4586,3268,1800,54751,97218,4
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706292,4586,3268,1800,54751,97218,5
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706460,4586,3268,1800,54751,97218,6
ANDERSEN WINDOWS INC._54751_97218,TPOD-B0706378,4586,3268,1800,54751,97218,7
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0706009,2104,1417,776,75041,80011,1
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0706008,2104,1417,776,75041,80011,2
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0705823,2104,1417,776,75041,80011,3
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0706185,2104,1417,776,75041,80011,4
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0706184,2104,1417,776,75041,80011,5
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0706333,2104,1417,776,75041,80011,6
ANDERSEN WINDOWS INC._75041_80011,TPOD-B0706332,2104,1417,776,75041,80011,7
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706046,2463,2017,1109,85338,75040,1
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706049,2463,2017,1109,85338,75040,2
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706203,2463,2017,1109,85338,75040,3
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706303,2463,2017,1109,85338,75040,4
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706211,2463,2017,1109,85338,75040,5
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706398,2463,2017,1109,85338,75040,6
ANDERSEN WINDOWS INC._85338_75040,TPOD-B0706562,2463,2017,1109,85338,75040,7
ANDERSEN WINDOWS INC._52001_85338,TPOD-B0706047,3742,3015,1649,52001,85338,1
ANDERSEN WINDOWS INC._52001_85338,TPOD-B0706043,3742,3015,1649,52001,85338,2
ANDERSEN WINDOWS INC._52001_85338,TPOD-B0705835,3742,3015,1649,52001,85338,3
ANDERSEN WINDOWS INC._52001_85338,TPOD-B0705836,3742,3015,1649,52001,85338,4
ANDERSEN WINDOWS INC._52001_85338,TPOD-B0706396,3742,3015,1649,52001,85338,5
ANDERSEN WINDOWS INC._52001_85338,TPOD-B0706188,3742,3015,1649,52001,85338,6
ANDERSEN WINDOWS INC._28625_55016,TPOD-B0706029,2933,2355,1247,28625,55016,1
ANDERSEN WINDOWS INC._28625_55016,TPOD-B0706428,2933,2355,1247,28625,55016,2
ANDERSEN WINDOWS INC._28625_55016,TPOD-B0706189,2933,2355,1247,28625,55016,3
ANDERSEN WINDOWS INC._28625_55379,TPOD-B0706028,2812,2160,1139,28625,55379,1
ANDERSEN WINDOWS INC._28625_55379,TPOD-B0706429,2812,2160,1139,28625,55379,2
ANDERSEN WINDOWS INC._28625_55379,TPOD-B0706190,2812,2160,1139,28625,55379,3
ANDERSEN WINDOWS INC._75051_75041,TPOD-B0706181,222,73,34,75051,75041,1
ANDERSEN WINDOWS INC._75051_75041,TPOD-B0706182,222,73,34,75051,75041,2
ANDERSEN WINDOWS INC._75051_75041,TPOD-B0706361,222,73,34,75051,75041,3
ANDERSEN WINDOWS INC._75051_75041,TPOD-B0706487,222,73,34,75051,75041,4
ANDERSEN WINDOWS INC._75051_75041,TPOD-B0706611,222,73,34,75051,75041,5
ANDERSEN WINDOWS INC._97754_54023,TPOD-B0706045,4464,3195,1758,97754,54023,1
ANDERSEN WINDOWS INC._97754_54023,TPOD-B0705886,4464,3195,1758,97754,54023,2
ANDERSEN WINDOWS INC._97754_54023,TPOD-B0706044,4464,3195,1758,97754,54023,3
ANDERSEN WINDOWS INC._97754_54023,TPOD-B0706000,4464,3195,1758,97754,54023,4
ANDERSEN WINDOWS INC._97754_55003,TPOD-B0706265,4446,3158,1740,97754,55003,1
ANDERSEN WINDOWS INC._97756_54751,TPOD-B0706082,4540,3275,1794,97756,54751,1
ANDERSEN WINDOWS INC._97756_54751,TPOD-B0705915,4540,3275,1794,97756,54751,2
ANDERSEN WINDOWS INC._97756_54751,TPOD-B0706458,4540,3275,1794,97756,54751,3
ANDERSEN WINDOWS INC._97756_54751,TPOD-B0706253,4540,3275,1794,97756,54751,4
ANDERSEN WINDOWS INC._54401_54401,TPOD-B0706027,1442,893,479,54401,54401,1
ANDERSEN WINDOWS INC._54401_54401,TPOD-B0706433,1442,893,479,54401,54401,2
ANDERSEN WINDOWS INC._54401_54401,TPOD-B0706180,1442,893,479,54401,54401,3
ANDERSEN WINDOWS INC._54401_54401,TPOD-B0706569,1442,893,479,54401,54401,4
ANDERSEN WINDOWS INC._80011_84104,TPOD-B0706278,1250,976,526,80011,84104,1
ANDERSEN WINDOWS INC._80011_84104,TPOD-B0706107,1250,976,526,80011,84104,2
ANDERSEN WINDOWS INC._80011_84104,TPOD-B0706636,1250,976,526,80011,84104,3
ANDERSEN WINDOWS INC._55003_85338,TPOD-B0706179,4181,3202,1756,55003,85338,1
ANDERSEN WINDOWS INC._55003_85338,TPOD-B0706030,4181,3202,1756,55003,85338,2
ANDERSEN WINDOWS INC._55003_85338,TPOD-B0706434,4181,3202,1756,55003,85338,3
ANDERSEN WINDOWS INC._84104_80011,TPOD-B0706321,1239,984,526,84104,80011,1
ANDERSEN WINDOWS INC._84104_80011,TPOD-B0706108,1239,984,526,84104,80011,2
ANDERSEN WINDOWS INC._75040_80011,TPOD-B0705975,2108,1436,779,75040,80011,1
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0705950,650,431,230,55378,50313,1
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706423,650,431,230,55378,50313,2
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706217,650,431,230,55378,50313,3
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706025,650,431,230,55378,50313,4
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706425,650,431,230,55378,50313,5
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706024,650,431,230,55378,50313,6
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706218,650,431,230,55378,50313,7
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706023,650,431,230,55378,50313,8
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706422,650,431,230,55378,50313,9
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706022,650,431,230,55378,50313,10
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706424,650,431,230,55378,50313,11
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706563,650,431,230,55378,50313,12
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706426,650,431,230,55378,50313,13
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706564,650,431,230,55378,50313,14
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706026,650,431,230,55378,50313,15
LIBERTY TIRE RECYCLING_55378_50313,TPOD-B0706219,650,431,230,55378,50313,16
LIBERTY TIRE RECYCLING_55378_60542,TPOD-B0706215,1283,785,408,55378,60542,1
LIBERTY TIRE RECYCLING_55378_60542,TPOD-B0706136,1283,785,408,55378,60542,2
LIBERTY TIRE RECYCLING_55378_60525,TPOD-B0706326,1281,842,415,55378,60525,1
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706329,1258,789,412,60538,55378,1
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706310,1258,789,412,60538,55378,2
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706214,1258,789,412,60538,55378,3
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706126,1258,789,412,60538,55378,4
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706328,1258,789,412,60538,55378,5
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706119,1258,789,412,60538,55378,6
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706280,1258,789,412,60538,55378,7
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706194,1258,789,412,60538,55378,8
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706618,1258,789,412,60538,55378,9
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706175,1258,789,412,60538,55378,10
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706386,1258,789,412,60538,55378,11
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706474,1258,789,412,60538,55378,12
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706464,1258,789,412,60538,55378,13
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706497,1258,789,412,60538,55378,14
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706508,1258,789,412,60538,55378,15
LIBERTY TIRE RECYCLING_60538_55378,TPOD-B0706543,1258,789,412,60538,55378,16
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706463,835,531,289,54303,55378,1
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706319,835,531,289,54303,55378,2
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706085,835,531,289,54303,55378,3
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706147,835,531,289,54303,55378,4
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706259,835,531,289,54303,55378,5
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706036,835,531,289,54303,55378,6
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706505,835,531,289,54303,55378,7
LIBERTY TIRE RECYCLING_54303_55378,TPOD-B0706381,835,531,289,54303,55378,8
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706307,836,417,222,57104,55378,1
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706537,836,417,222,57104,55378,2
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706442,836,417,222,57104,55378,3
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706111,836,417,222,57104,55378,4
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706320,836,417,222,57104,55378,5
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706110,836,417,222,57104,55378,6
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706582,836,417,222,57104,55378,7
LIBERTY TIRE RECYCLING_57104_55378,TPOD-B0706490,836,417,222,57104,55378,8
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0706268,1152,845,425,60446,55378,1
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0706169,1152,845,425,60446,55378,2
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0705996,1152,845,425,60446,55378,3
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0706105,1152,845,425,60446,55378,4
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0706461,1152,845,425,60446,55378,5
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0706517,1152,845,425,60446,55378,6
LIBERTY TIRE RECYCLING_60446_55378,TPOD-B0706334,1152,845,425,60446,55378,7
LIBERTY TIRE RECYCLING_60085_55378,TPOD-B0705961,1190,739,398,60085,55378,1
LIBERTY TIRE RECYCLING_60085_55378,TPOD-B0706300,1190,739,398,60085,55378,2
LIBERTY TIRE RECYCLING_60085_55378,TPOD-B0706302,1190,739,398,60085,55378,3
LIBERTY TIRE RECYCLING_60085_55378,TPOD-B0706053,1190,739,398,60085,55378,4
LIBERTY TIRE RECYCLING_60085_55378,TPOD-B0706096,1190,739,398,60085,55378,5
LIBERTY TIRE RECYCLING_60085_55378,TPOD-B0706097,1190,739,398,60085,55378,6
LIBERTY TIRE RECYCLING_53151_55378,TPOD-B0706177,899,630,339,53151,55378,1
LIBERTY TIRE RECYCLING_53151_55378,TPOD-B0706344,899,630,339,53151,55378,2
LIBERTY TIRE RECYCLING_53151_55378,TPOD-B0706291,899,630,339,53151,55378,3
LIBERTY TIRE RECYCLING_53151_55378,TPOD-B0706086,899,630,339,53151,55378,4
LIBERTY TIRE RECYCLING_53151_55378,TPOD-B0706491,899,630,339,53151,55378,5
LIBERTY TIRE RECYCLING_53151_55378,TPOD-B0706465,899,630,339,53151,55378,6
LIBERTY TIRE RECYCLING_46323_55378,TPOD-B0706124,1133,874,449,46323,55378,1
LIBERTY TIRE RECYCLING_46323_55378,TPOD-B0705989,1133,874,449,46323,55378,2
LIBERTY TIRE RECYCLING_46323_55378,TPOD-B0706240,1133,874,449,46323,55378,3
LIBERTY TIRE RECYCLING_46323_55378,TPOD-B0706374,1133,874,449,46323,55378,4
LIBERTY TIRE RECYCLING_46323_55378,TPOD-B0706419,1133,874,449,46323,55378,5
LIBERTY TIRE RECYCLING_53713_55378,TPOD-B0706063,897,531,287,53713,55378,1
LIBERTY TIRE RECYCLING_53713_55378,TPOD-B0706176,897,531,287,53713,55378,2
LIBERTY TIRE RECYCLING_53713_55378,TPOD-B0706318,897,531,287,53713,55378,3
LIBERTY TIRE RECYCLING_53713_55378,TPOD-B0706421,897,531,287,53713,55378,4
LIBERTY TIRE RECYCLING_53566_55378,TPOD-B0706499,956,634,327,53566,55378,1
LIBERTY TIRE RECYCLING_53566_55378,TPOD-B0706001,956,634,327,53566,55378,2
LIBERTY TIRE RECYCLING_53566_55378,TPOD-B0706311,956,634,327,53566,55378,3
LIBERTY TIRE RECYCLING_61032_55378,TPOD-B0706314,1134,644,350,61032,55378,1
LIBERTY TIRE RECYCLING_61032_55378,TPOD-B0706703,1134,644,350,61032,55378,2
LIBERTY TIRE RECYCLING_61032_55378,TPOD-B0706472,1134,644,350,61032,55378,3
LIBERTY TIRE RECYCLING_51101_55378,TPOD-B0706197,907,481,257,51101,55378,1
LIBERTY TIRE RECYCLING_51101_55378,TPOD-B0706470,907,481,257,51101,55378,2
LIBERTY TIRE RECYCLING_54911_55378,TPOD-B0706241,1236,544,295,54911,55378,1
LIBERTY TIRE RECYCLING_54911_55378,TPOD-B0706609,1236,544,295,54911,55378,2
LIBERTY TIRE RECYCLING_53177_55378,TPOD-B0706112,1293,684,371,53177,55378,1
LIBERTY TIRE RECYCLING_53177_55378,TPOD-B0706405,1293,684,371,53177,55378,2
LIBERTY TIRE RECYCLING_53532_55378,TPOD-B0706296,906,510,275,53532,55378,1
LIBERTY TIRE RECYCLING_53532_55378,TPOD-B0706019,906,510,275,53532,55378,2
LIBERTY TIRE RECYCLING_53545_55378,TPOD-B0706275,1211,587,315,53545,55378,1
