KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,MustTakeFlag
SCHREIBER FOODS INC_84321_64836,237607,3091,2268,1224,84321,64836,1,
SCHREIBER FOODS INC_84321_64836,238998,3091,2268,1224,84321,64836,2,
SCHREIBER FOODS INC_84321_64836,238791,3091,2268,1224,84321,64836,3,
SCHREIBER FOODS INC_84321_64836,237616,3091,2268,1224,84321,64836,4,
SCHREIBER FOODS INC_84321_64836,239289,3091,2268,1224,84321,64836,5,
SCHREIBER FOODS INC_84321_64836,237604,3091,2268,1224,84321,64836,6,
SCHREIBER FOODS INC_84321_64836,237614,3091,2268,1224,84321,64836,7,
SCHREIBER FOODS INC_84321_64836,237605,3091,2268,1224,84321,64836,8,
SCHREIBER FOODS INC_84321_64836,239240,3091,2268,1224,84321,64836,9,
SCHREIBER FOODS INC_84321_64836,238790,3091,2268,1224,84321,64836,10,
SCHREIBER FOODS INC_84321_64836,237802,3091,2268,1224,84321,64836,11,
SCHREIBER FOODS INC_84321_64836,237602,3091,2268,1224,84321,64836,12,
SCHREIBER FOODS INC_84321_64836,237606,3091,2268,1224,84321,64836,13,
SCHREIBER FOODS INC_84321_64836,237608,3091,2268,1224,84321,64836,14,
SCHREIBER FOODS INC_84321_64836,238550,3091,2268,1224,84321,64836,15,
SCHREIBER FOODS INC_84321_64836,237612,3091,2268,1224,84321,64836,16,
SCHREIBER FOODS INC_84321_64836,239239,3091,2268,1224,84321,64836,17,
SCHREIBER FOODS INC_84321_64836,237610,3091,2268,1224,84321,64836,18,
SCHREIBER FOODS INC_84321_64836,238551,3091,2268,1224,84321,64836,19,
SCHREIBER FOODS INC_84321_64836,239315,3091,2268,1224,84321,64836,20,
SCHREIBER FOODS INC_84321_64836,237603,3091,2268,1224,84321,64836,21,
SCHREIBER FOODS INC_84321_64836,238950,3091,2268,1224,84321,64836,22,
SCHREIBER FOODS INC_84321_64836,238220,3091,2268,1224,84321,64836,23,
SCHREIBER FOODS INC_84321_64836,237611,3091,2268,1224,84321,64836,24,
SCHREIBER FOODS INC_84321_64836,239287,3091,2268,1224,84321,64836,25,
SCHREIBER FOODS INC_84321_64836,237619,3091,2268,1224,84321,64836,26,
SCHREIBER FOODS INC_84321_54115,237467,3574,2788,1488,84321,54115,1,
SCHREIBER FOODS INC_84321_54115,237466,3574,2788,1488,84321,54115,2,
SCHREIBER FOODS INC_84321_54115,237469,3574,2788,1488,84321,54115,3,
SCHREIBER FOODS INC_84321_54115,237957,3574,2788,1488,84321,54115,4,
SCHREIBER FOODS INC_84321_92821,238275,2093,1473,758,84321,92821,1,
SCHREIBER FOODS INC_84321_92821,237932,2093,1473,758,84321,92821,2,
SCHREIBER FOODS INC_84321_92821,239128,2093,1473,758,84321,92821,3,
SCHREIBER FOODS INC_84321_76401,238854,3498,2390,1279,84321,76401,1,
SCHREIBER FOODS INC_84321_76401,239449,3498,2390,1279,84321,76401,2,
SCHREIBER FOODS INC_84321_85043,238933,1914,1421,750,84321,85043,1,
SCHREIBER FOODS INC_84321_85043,237933,1914,1421,750,84321,85043,2,
SCHREIBER FOODS INC_84321_85353,239131,1935,1425,752,84321,85353,1,
SCHREIBER FOODS INC_84321_85353,238834,1935,1425,752,84321,85353,2,
SCHREIBER FOODS INC_64836_84321,237592,3322,2245,1219,64836,84321,1,
SCHREIBER FOODS INC_64836_84321,237577,3322,2245,1219,64836,84321,2,
SCHREIBER FOODS INC_64836_84321,239622,3322,2245,1219,64836,84321,3,
SCHREIBER FOODS INC_64836_84321,237576,3322,2245,1219,64836,84321,4,
SCHREIBER FOODS INC_64836_84321,237583,3322,2245,1219,64836,84321,5,
SCHREIBER FOODS INC_64836_84321,237578,3322,2245,1219,64836,84321,6,
SCHREIBER FOODS INC_64836_84321,237571,3322,2245,1219,64836,84321,7,
SCHREIBER FOODS INC_64836_84321,237574,3322,2245,1219,64836,84321,8,
SCHREIBER FOODS INC_64836_84321,237570,3322,2245,1219,64836,84321,9,
SCHREIBER FOODS INC_64836_84321,237587,3322,2245,1219,64836,84321,10,
SCHREIBER FOODS INC_64836_84321,237582,3322,2245,1219,64836,84321,11,
SCHREIBER FOODS INC_64836_84321,239258,3322,2245,1219,64836,84321,12,
SCHREIBER FOODS INC_64836_84321,239257,3322,2245,1219,64836,84321,13,
SCHREIBER FOODS INC_64836_84321,237589,3322,2245,1219,64836,84321,14,
SCHREIBER FOODS INC_64836_84321,237584,3322,2245,1219,64836,84321,15,
SCHREIBER FOODS INC_64836_84321,237586,3322,2245,1219,64836,84321,16,
SCHREIBER FOODS INC_64836_84321,237573,3322,2245,1219,64836,84321,17,
SCHREIBER FOODS INC_64836_84321,237588,3322,2245,1219,64836,84321,18,
SCHREIBER FOODS INC_64836_84321,237575,3322,2245,1219,64836,84321,19,
SCHREIBER FOODS INC_64836_84321,237585,3322,2245,1219,64836,84321,20,
SCHREIBER FOODS INC_64836_84321,237580,3322,2245,1219,64836,84321,21,
SCHREIBER FOODS INC_64836_84321,237569,3322,2245,1219,64836,84321,22,
SCHREIBER FOODS INC_64836_84321,237590,3322,2245,1219,64836,84321,23,
SCHREIBER FOODS INC_64836_84321,238214,3322,2245,1219,64836,84321,24,
SCHREIBER FOODS INC_64836_84321,239260,3322,2245,1219,64836,84321,25,
SCHREIBER FOODS INC_85282_64836,239120,3172,2313,1255,85282,64836,1,
SCHREIBER FOODS INC_85282_64836,238647,3172,2313,1255,85282,64836,2,
SCHREIBER FOODS INC_85282_64836,239121,3172,2313,1255,85282,64836,3,
SCHREIBER FOODS INC_85282_64836,237931,3172,2313,1255,85282,64836,4,
SCHREIBER FOODS INC_85282_64836,238648,3172,2313,1255,85282,64836,5,
SCHREIBER FOODS INC_85282_64836,239119,3172,2313,1255,85282,64836,6,
SCHREIBER FOODS INC_85282_64836,237930,3172,2313,1255,85282,64836,7,
SCHREIBER FOODS INC_85282_64836,237929,3172,2313,1255,85282,64836,8,
SCHREIBER FOODS INC_85282_64836,239118,3172,2313,1255,85282,64836,9,
SCHREIBER FOODS INC_85282_64836,238649,3172,2313,1255,85282,64836,10,
SCHREIBER FOODS INC_85282_84321,238271,2217,1405,760,85282,84321,1,
SCHREIBER FOODS INC_85282_84321,237926,2217,1405,760,85282,84321,2,
SCHREIBER FOODS INC_85282_84321,238642,2217,1405,760,85282,84321,3,
SCHREIBER FOODS INC_85282_84321,238641,2217,1405,760,85282,84321,4,
SCHREIBER FOODS INC_85282_84321,237927,2217,1405,760,85282,84321,5,
SCHREIBER FOODS INC_85282_65708,238274,3256,2295,1261,85282,65708,1,
SCHREIBER FOODS INC_85282_65708,238273,3256,2295,1261,85282,65708,2,
SCHREIBER FOODS INC_85282_64850,238272,3146,2282,1233,85282,64850,1,
SCHREIBER FOODS INC_83338_64836,238650,3752,2609,1424,83338,64836,1,
SCHREIBER FOODS INC_83338_64836,238654,3752,2609,1424,83338,64836,2,
SCHREIBER FOODS INC_83338_64836,238672,3752,2609,1424,83338,64836,3,
SCHREIBER FOODS INC_83338_64836,238673,3752,2609,1424,83338,64836,4,
SCHREIBER FOODS INC_83338_64836,238671,3752,2609,1424,83338,64836,5,
SCHREIBER FOODS INC_83338_64836,238652,3752,2609,1424,83338,64836,6,
SCHREIBER FOODS INC_83338_64836,238651,3752,2609,1424,83338,64836,7,
SCHREIBER FOODS INC_83338_64836,238670,3752,2609,1424,83338,64836,8,
SCHREIBER FOODS INC_84319_64836,237643,3066,2269,1229,84319,64836,1,
SCHREIBER FOODS INC_84319_64836,238350,3066,2269,1229,84319,64836,2,
RESER'S FINE FOODS_97124_85353,238994,3063,2503,1337,97124,85353,1,
RESER'S FINE FOODS_97124_85353,238225,3063,2503,1337,97124,85353,2,
RESER'S FINE FOODS_97124_85353,238961,3063,2503,1337,97124,85353,3,
RESER'S FINE FOODS_97124_85353,238756,3063,2503,1337,97124,85353,4,
RESER'S FINE FOODS_97124_85353,238194,3063,2503,1337,97124,85353,5,
RESER'S FINE FOODS_97124_85353,238534,3063,2503,1337,97124,85353,6,
